Time,S1_X,S1_Y,S1_Z
1731070307.14,11260.7838999,11260.1912627,0.0
1731070307.64,11260.4064241,11260.3417152,0.0
1731070308.14,11260.7445517,11260.904524,0.0
1731070308.64,11261.0593029,11260.571566,0.0
1731070309.14,11260.7856179,11261.4457365,0.0
1731070309.65,11260.8703089,11261.2561658,0.0
1731070310.15,11261.0623424,11261.2872928,0.0
1731070310.65,11261.2652483,11261.5698312,0.0
1731070311.15,11261.9249528,11261.8333603,0.0
1731070311.65,11261.6984524,11262.1178224,0.0
1731070312.15,11262.051411,11262.2542661,0.0
1731070312.65,11262.4350423,11261.9762938,0.0
1731070313.15,11262.3340557,11262.3120614,0.0
1731070313.65,11262.6631819,11262.1431209,0.0
1731070314.15,11262.3800346,11262.6519245,0.0
1731070314.65,11262.8246687,11262.42934,0.0
1731070315.15,11262.9271675,11263.0265584,0.0
1731070315.65,11262.8695701,11262.7511663,0.0
1731070316.15,11263.0464212,11262.8152719,0.0
1731070316.65,11263.335057,11263.0951392,0.0
1731070317.15,11263.6634915,11263.4480632,0.0
1731070317.65,11263.3769294,11263.5113298,0.0
1731070318.15,11264.0052039,11263.5028485,0.0
1731070318.65,11263.6713405,11263.6497758,0.0
1731070319.15,11263.9014017,11263.9586133,0.0
1731070319.65,11264.3188696,11264.0997526,0.0
1731070320.16,11264.5075143,11264.7357368,0.0
1731070320.66,11264.5798705,11264.2062958,0.0
1731070321.16,11264.6496449,11264.5661648,0.0
1731070321.66,11264.9062367,11264.8831721,0.0
1731070322.16,11264.7983997,11264.6227203,0.0
1731070322.66,11265.0054901,11265.3568506,0.0
1731070323.16,11265.2771571,11265.3307821,0.0
1731070323.66,11265.6257176,11265.476632,0.0
1731070324.16,11265.5808659,11265.2066936,0.0
1731070324.66,11266.0538095,11265.7194843,0.0
1731070325.16,11266.0189749,11265.9045052,0.0
1731070325.66,11265.9674402,11265.9089009,0.0
1731070326.16,11265.9436002,11265.8371143,0.0
1731070326.66,11266.4201764,11266.4047099,0.0
1731070327.16,11266.4806185,11266.5043395,0.0
1731070327.66,11266.3149331,11266.3799449,0.0
1731070328.16,11266.6497843,11266.6753124,0.0
1731070328.67,11266.9270121,11266.9514124,0.0
1731070329.17,11266.8998246,11267.0884279,0.0
1731070329.67,11267.4885776,11267.2698257,0.0
1731070330.17,11267.5838209,11267.4945003,0.0
1731070330.67,11267.3324064,11267.5278777,0.0
1731070331.17,11267.4301262,11267.3590725,0.0
1731070331.67,11267.8522815,11267.551474,0.0
1731070332.17,11267.6183941,11267.9376946,0.0
1731070332.67,11267.9372838,11267.8132791,0.0
1731070333.17,11268.2303482,11268.5375183,0.0
1731070333.67,11268.6197884,11268.5002438,0.0
1731070334.17,11268.5787409,11268.2986148,0.0
1731070334.67,11269.0644041,11268.4317667,0.0
1731070335.17,11268.5818674,11268.8433723,0.0
1731070335.67,11268.9128749,11269.1052311,0.0
1731070336.17,11269.5119337,11269.2871573,0.0
1731070336.67,11269.2059821,11269.2934345,0.0
1731070337.18,11269.5084497,11269.3723498,0.0
1731070337.68,11269.6644034,11269.3460926,0.0
1731070338.18,11270.039051,11269.4387263,0.0
1731070338.68,11270.2471882,11269.6636334,0.0
1731070339.18,11270.1429953,11269.7193302,0.0
1731070339.68,11270.0787425,11270.3655283,0.0
1731070340.18,11270.185844,11270.1231442,0.0
1731070340.68,11270.8813805,11270.213008,0.0
1731070341.18,11270.8543198,11270.6482643,0.0
1731070341.68,11271.0473229,11271.0532795,0.0
1731070342.18,11270.9918203,11270.6432753,0.0
1731070342.68,11271.2198968,11270.8636066,0.0
1731070343.18,11271.027413,11270.9435406,0.0
1731070343.68,11271.6118349,11271.5999426,0.0
1731070344.18,11271.6724337,11271.7347741,0.0
1731070344.69,11271.7657986,11271.4302744,0.0
1731070345.18,11272.1427551,11272.2289479,0.0
1731070345.68,11271.8070903,11272.0595869,0.0
1731070346.18,11272.5007753,11271.8668647,0.0
1731070346.68,11272.2023771,11272.2114255,0.0
1731070347.18,11272.6401192,11272.835217,0.0
1731070347.68,11272.7065932,11272.2734821,0.0
1731070348.18,11273.0364147,11272.899167,0.0
1731070348.69,11273.1879277,11272.9981237,0.0
1731070349.19,11273.0727032,11273.0947065,0.0
1731070349.69,11273.242023,11272.9853828,0.0
1731070350.19,11273.0205782,11273.6532146,0.0
1731070350.69,11273.2664697,11273.2789834,0.0
1731070351.19,11273.7986123,11273.445759,0.0
1731070351.69,11273.585362,11274.0149443,0.0
1731070352.19,11274.1815309,11273.8072169,0.0
1731070352.69,11273.8437425,11274.4496405,0.0
1731070353.19,11274.0762278,11274.2676781,0.0
1731070353.69,11274.2964806,11274.6429818,0.0
1731070354.19,11274.3482726,11274.8456659,0.0
1731070354.69,11274.6664015,11274.5376759,0.0
1731070355.19,11275.0439969,11275.2439578,0.0
1731070355.69,11274.6669113,11275.0804383,0.0
1731070356.19,11275.0636125,11275.0725566,0.0
1731070356.69,11275.2045269,11275.6926936,0.0
1731070357.19,11275.6462669,11275.2218825,0.0
1731070357.69,11275.4937093,11275.7026104,0.0
1731070358.2,11276.0957155,11276.1450569,0.0
1731070358.7,11275.5840996,11276.2873242,0.0
1731070359.2,11275.9847581,11275.8483813,0.0
1731070359.7,11276.593642,11275.9835584,0.0
1731070360.2,11276.6372863,11276.5608325,0.0
1731070360.7,11276.618252,11276.4395791,0.0
1731070361.2,11276.5302965,11276.5031289,0.0
1731070361.7,11276.8739278,11277.1502914,0.0
1731070362.2,11276.8720056,11276.878787,0.0
1731070362.7,11277.473171,11276.9246334,0.0
1731070363.2,11277.5925406,11276.9498431,0.0
1731070363.7,11277.2561674,11277.3202042,0.0
1731070364.21,11277.674907,11277.9300432,0.0
1731070364.71,11277.5926009,11277.6960733,0.0
1731070365.21,11277.8806709,11277.7682724,0.0
1731070365.71,11277.82615,11277.6733765,0.0
1731070366.2,11278.3563138,11278.2358531,0.0
1731070366.7,11278.3961713,11278.5858954,0.0
1731070367.21,11278.6751272,11278.8445906,0.0
1731070367.71,11278.8324274,11278.8259932,0.0
1731070368.21,11279.119372,11278.691314,0.0
1731070368.71,11279.0786255,11278.8063587,0.0
1731070369.21,11278.7530443,11279.4368952,0.0
1731070369.71,11278.9512005,11279.2587839,0.0
1731070370.21,11279.5188844,11279.6536447,0.0
1731070370.71,11279.2927523,11279.5370393,0.0
1731070371.21,11279.6971351,11279.919045,0.0
1731070371.71,11280.1285372,11279.9961433,0.0
1731070372.21,11279.8523515,11279.7465421,0.0
1731070372.71,11279.9548535,11279.9315068,0.0
1731070373.21,11280.2609171,11279.9975856,0.0
1731070373.71,11280.394225,11280.2100183,0.0
1731070374.21,11280.3236868,11280.4589744,0.0
1731070374.71,11281.0982795,11280.3564029,0.0
1731070375.21,11281.0586241,11280.9577277,0.0
1731070375.71,11280.7242788,11281.1135757,0.0
1731070376.22,11281.1849482,11280.8292649,0.0
1731070376.72,11281.5482818,11281.4112129,0.0
1731070377.22,11281.501953,11281.2598486,0.0
1731070377.72,11281.885093,11281.9596401,0.0
1731070378.22,11281.749345,11281.8284577,0.0
